step,v8_5,v9_1,v9_5,aggregate_close
1,413.12277,414.18378,422.20538,419.57968
2,420.73398,421.1759,419.11154,419.01517
3,413.01086,414.06525,416.19812,416.88455
4,408.05817,407.91254,411.14566,413.94208
5,406.75632,406.0262,418.14703,415.97598
6,408.7339,407.5539,416.9131,415.99048
7,405.936,404.79935,417.64307,416.0106
8,405.70862,404.11975,414.55585,414.36264
9,409.8353,407.91275,417.94318,416.2936
10,413.7069,412.2298,417.65256,417.08
11,407.998,406.9636,416.42975,415.62695
12,410.28015,408.47626,422.0079,418.1533
13,406.52975,405.0975,418.02112,416.4634
14,405.78738,403.68134,419.88467,417.17722
15,406.4224,403.89282,417.29352,415.78543
16,413.14993,410.73993,415.80066,415.8997
17,418.30823,416.58026,420.41254,418.40576
18,414.15707,413.45255,421.80484,419.52237
19,405.7283,404.4841,417.55844,416.88254
20,409.5625,407.011,420.95172,418.2721
21,410.87537,408.9069,415.62936,416.0942
22,412.33698,410.55045,423.05847,418.8462
23,410.43924,408.96387,417.9874,417.0642
24,409.97406,408.44305,428.19586,420.6929
25,407.505,405.73138,421.9,418.86288
26,400.82928,398.83118,420.42264,417.06168
27,408.5449,405.5917,420.15945,417.65787
28,404.52255,402.38947,418.53824,416.24426
29,409.87726,407.26672,422.8425,418.62607
30,402.90796,401.12073,419.35318,416.79388
31,402.554,399.60815,427.8895,419.85107
32,401.02185,397.86487,421.08508,417.6806
33,399.23212,395.93878,421.95435,417.3354
34,402.47366,398.86133,423.85406,418.82
35,406.227,403.1343,417.31628,416.4591
36,407.05136,404.22522,417.71448,416.08847
37,403.8341,401.22433,418.1143,415.87708
38,403.1543,399.88742,419.8585,416.71268
39,413.2528,409.91388,417.64026,416.8792
40,416.1405,413.9858,417.6916,417.39514
41,410.6485,409.09918,418.17325,416.93835
42,410.8835,408.71524,414.35114,415.09326
43,415.84497,413.86044,418.1551,417.14804
44,416.42722,415.11423,421.53384,419.18402
45,419.42563,417.85013,424.4996,421.23444
46,416.0188,415.11603,414.25507,417.441
47,417.59488,416.5137,415.683,416.5491
48,418.50583,417.66617,413.75027,415.6112
49,408.78568,408.2545,419.1351,417.1953
50,408.1723,406.49667,416.84146,415.83704
